Index,AUC Treino,AUC Teste
0,0.8950160773188618,0.8152096279104589
1,0.8921713267423637,0.8148019764917273
2,0.8738812067337767,0.791307928427042
3,0.8735948908058049,0.7927906715579848
4,0.8715812325867518,0.791451673279928
5,0.8688178265496203,0.7961933817473984
6,0.8971762953610068,0.8329355394175341
7,0.8975736348128777,0.8336931945796211
8,0.896262086842913,0.8333634049562028
9,0.8917115650513945,0.8286321778842555
10,0.892100658096713,0.8300273264954705
11,0.8919142396801618,0.8314861121509323
12,0.8912027750398758,0.8303788275810438
13,0.8881165934550423,0.8293684959197425
14,0.8876397272511132,0.8297739013251478
15,0.8888494560487884,0.8338081155948193
16,0.8872456425041377,0.8356296324024854
17,0.8789488515046662,0.8238511641835743
18,0.8785395608225863,0.8253144418656884
19,0.8813985709306378,0.8308085647974843
20,0.8812534999619129,0.8333342067829602
21,0.8789601448689922,0.8305581343115969
22,0.8758019442822221,0.8275013101744403
23,0.875553467184034,0.8272797035262411
24,0.8713123097094078,0.8233847420828032
25,0.8712772466119907,0.8266538144792992
26,0.874102763267539,0.8316736542636821
27,0.8721044725646844,0.8312296922961743
28,0.8720974437870914,0.8312435427116869
29,0.8717203135134887,0.830974769783634
30,0.8722785819643183,0.831479374110953
31,0.8720651160267672,0.8314378228644158
32,0.8727357698992888,0.8328865014599086
33,0.8695640599789022,0.8295545406902748
34,0.8707748505951954,0.8344396196750767
35,0.8712544117409438,0.8358553567417835
36,0.8721439676006822,0.8384266676648948
37,0.8721913627980306,0.8437609493149659
38,0.8709978325050379,0.8422695964662722
39,0.8712907097795802,0.8438118589503631
40,0.8706083932145176,0.8436830875196525
41,0.8711441730395021,0.8428621696488734
42,0.867271322356591,0.8388384367747248
43,0.8641552251863377,0.8354319832297673
44,0.8610114918782418,0.8369457962117243
45,0.8617099607819602,0.8381709964812458
46,0.8526829905890554,0.8287145317062216
47,0.8436053531816471,0.8199547053979187
48,0.8436506824492924,0.8206438571535525
49,0.8466470134043058,0.8285674178333459
