feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78118701 0.94176932],0.8614781634938411,"('0', '1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.345464950430726,0.08029115341545351,0.08029115341545351
"(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.7818589  0.94378499],0.8628219484882418,"('0', '1', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.3483558705180124,0.08096304591265396,0.08096304591265396
"(0, 1, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78118701 0.94568869],0.863437849944009,"('0', '1', '4', '5', '6', '7', '8', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.35389680068531154,0.08225083986562154,0.08225083986562153
"(0, 1, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78320269 0.94557671],0.8643896976483763,"('0', '1', '4', '6', '7', '8', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.34931951054710797,0.08118701007838747,0.08118701007838745
"(0, 1, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78365062 0.9450168 ],0.8643337066069428,"('0', '1', '4', '6', '8', '10', '11', '12', '13', '14', '15', '16', '18', '19', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.3471513204816431,0.08068309070548713,0.08068309070548711
"(0, 1, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78309071 0.94568869],0.8643896976483763,"('0', '1', '4', '6', '8', '10', '11', '12', '13', '14', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.34980133056165535,0.08129899216125414,0.08129899216125412
"(0, 1, 4, 8, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78275476 0.94591265],0.8643337066069428,"('0', '1', '4', '8', '10', '11', '12', '13', '14', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.3510058805980249,0.08157894736842103,0.08157894736842101
"(0, 1, 4, 8, 10, 11, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 39, 42, 43)",[0.78342665 0.94456887],0.8639977603583426,"('0', '1', '4', '8', '10', '11', '13', '14', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '39', '42', '43')",0.3466695004670955,0.0805711086226204,0.0805711086226204
"(0, 1, 4, 8, 10, 11, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 42, 43)",[0.7825308  0.94490482],0.8637178051511758,"('0', '1', '4', '8', '10', '11', '13', '14', '15', '16', '18', '20', '21', '22', '23', '24', '25', '26', '29', '31', '32', '33', '34', '42', '43')",0.34931951054710797,0.08118701007838747,0.08118701007838745
"(0, 1, 4, 8, 10, 11, 13, 14, 15, 16, 18, 20, 21, 22, 23, 25, 26, 29, 31, 32, 33, 34, 42, 43)",[0.78241881 0.94490482],0.8636618141097424,"('0', '1', '4', '8', '10', '11', '13', '14', '15', '16', '18', '20', '21', '22', '23', '25', '26', '29', '31', '32', '33', '34', '42', '43')",0.34956042055438197,0.08124300111982086,0.08124300111982086
