Index,AUC Treino,AUC Teste
0,0.907308030118716,0.857073818971326
1,0.9069603883947841,0.8601224077262859
2,0.9063838843633357,0.8635385939956578
3,0.9071020084529997,0.8646544882832972
4,0.9074500541296666,0.8647005315564872
5,0.9074794445765305,0.8682638316987348
6,0.9018484415503474,0.8631781088567791
7,0.901772596538933,0.8664876094931497
8,0.9020830572989642,0.866807666392154
9,0.9012034559887724,0.8671411993711162
10,0.8989609181499426,0.8689585984876845
11,0.8928011467641077,0.8592775323800254
12,0.8900511000210056,0.8582862918319982
13,0.89290930799434,0.863436400389309
14,0.8902523665859531,0.8636752264730105
15,0.8888194077360413,0.8627371415737067
16,0.8845690343682989,0.8580021711462155
17,0.8778806446623993,0.8555985625514713
18,0.8725945191692884,0.8503529984277907
19,0.8685138694286262,0.8477985326046269
20,0.8552984345100286,0.8361840233585386
21,0.843650036124916,0.8243490304709141
