Index,AUC Treino,AUC Teste
0,1.0,0.8816090813805495
1,1.0,0.8835853859399566
2,1.0,0.8821200494122933
3,1.0,0.8837978213670735
4,1.0,0.8844942726660175
5,1.0,0.8801338249606948
6,1.0,0.8789045070000749
7,1.0,0.8823356666916224
8,1.0,0.8858701429961817
9,1.0,0.8801677023283672
10,1.0,0.881407688852287
11,1.0,0.8797660402785056
12,1.0,0.881265815677173
13,1.0,0.8787895859848769
14,1.0,0.8820236580070376
15,1.0,0.881217900726211
16,1.0,0.8879190686531407
17,1.0,0.8860412143445383
18,1.0,0.8842561952534251
19,1.0,0.8840027700831024
20,1.0,0.887138017518904
21,1.0,0.886617129594969
22,1.0,0.88325746799431
23,1.0,0.8774578872501312
24,1.0,0.880332222804522
25,1.0,0.8830002994684435
26,1.0,0.8826027551096803
27,1.0,0.8761456539642134
28,1.0,0.8813680092835218
29,1.0,0.8785030321179904
30,1.0,0.8745322677247885
31,1.0,0.8742910084599836
32,1.0,0.8776890394549675
33,1.0,0.8772881260762145
34,1.0,0.8795554765291608
35,1.0,0.889413041850715
36,1.0,0.8880596316538145
37,1.0,0.8852974095979637
38,1.0,0.8879800853485064
39,1.0,0.8882217189488658
40,1.0,0.8893359287265105
41,1.0,0.8872098899453471
42,1.0,0.8784895560380325
43,1.0,0.8791686007336977
44,1.0,0.8775029946844353
45,1.0,0.8705985625514711
46,1.0,0.8666654188814854
47,1.0,0.8748970577225424
48,1.0,0.8758564797484465
49,1.0,0.8769128546829377
