feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53)",[0.86858903 0.96164614],0.91511758118701,"('0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '39', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '53')",0.20019621604458407,0.04652855543113105,0.04652855543113105
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53)",[0.85890258 0.96690929],0.912905935050392,"('0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '39', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '53')",0.23235770201564535,0.05400335946248602,0.05400335946248602
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 39, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 53)",[0.86612542 0.97138858],0.9187569988801791,"('0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '39', '41', '42', '43', '44', '45', '47', '48', '49', '50', '51', '53')",0.22645540683743548,0.05263157894736842,0.05263157894736841
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51, 53)",[0.86388578 0.96707727],0.9154815229563269,"('0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '42', '43', '44', '45', '47', '48', '49', '50', '51', '53')",0.2219985717028686,0.051595744680850986,0.05159574468085098
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 42, 43, 44, 47, 48, 49, 50, 51, 53)",[0.8675252  0.96545353],0.9164893617021277,"('0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '42', '43', '44', '47', '48', '49', '50', '51', '53')",0.21067580136099706,0.04896416573348261,0.04896416573348261
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 43, 44, 47, 48, 49, 50, 51, 53)",[0.86198208 0.96976484],0.9158734602463605,"('0', '1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '43', '44', '47', '48', '49', '50', '51', '53')",0.23187588200109766,0.0538913773796193,0.05389137737961929
"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 43, 44, 47, 48, 49, 50, 51, 53)",[0.86573348 0.97021277],0.9179731243001119,"('0', '1', '2', '3', '4', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '43', '44', '47', '48', '49', '50', '51', '53')",0.22476903678651833,0.0522396416573348,0.0522396416573348
"(0, 1, 2, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 43, 44, 47, 48, 49, 50, 51, 53)",[0.86786114 0.96836506],0.9181131019036954,"('0', '1', '2', '3', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '43', '44', '47', '48', '49', '50', '51', '53')",0.21621673152829599,0.05025195968645013,0.05025195968645013
"(0, 1, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 43, 44, 47, 48, 49, 50, 51, 53)",[0.86769317 0.96640538],0.9170492721164614,"('0', '1', '3', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '43', '44', '47', '48', '49', '50', '51', '53')",0.21236217141191446,0.049356103023516285,0.049356103023516285
"(0, 1, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 31, 34, 35, 36, 38, 41, 43, 44, 48, 49, 50, 51, 53)",[0.86847704 0.96819709],0.9183370660694289,"('0', '1', '3', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '31', '34', '35', '36', '38', '41', '43', '44', '48', '49', '50', '51', '53')",0.21453036147737925,0.049860022396416626,0.04986002239641662
"(0, 1, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 34, 35, 36, 38, 41, 43, 44, 48, 49, 50, 51, 53)",[0.86567749 0.96662934],0.9161534154535275,"('0', '1', '3', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '29', '34', '35', '36', '38', '41', '43', '44', '48', '49', '50', '51', '53')",0.2171803715573913,0.05047592385218358,0.05047592385218358
"(0, 1, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 41, 43, 44, 48, 49, 50, 51, 53)",[0.86718925 0.96926092],0.9182250839865621,"('0', '1', '3', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '41', '43', '44', '48', '49', '50', '51', '53')",0.2195894716301303,0.051035834266517366,0.05103583426651736
"(0, 3, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 41, 43, 44, 48, 49, 50, 51, 53)",[0.86360582 0.96758119],0.9155935050391937,"('0', '3', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '41', '43', '44', '48', '49', '50', '51', '53')",0.223684941753786,0.05198768197088466,0.05198768197088465
"(0, 3, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 41, 43, 44, 48, 49, 50, 51, 53)",[0.8668533  0.97138858],0.919120940649496,"('0', '3', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '41', '43', '44', '48', '49', '50', '51', '53')",0.22488949179015555,0.05226763717805155,0.05226763717805155
"(0, 3, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 41, 43, 48, 49, 50, 51, 53)",[0.8712206  0.97458007],0.9229003359462487,"('0', '3', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '41', '43', '48', '49', '50', '51', '53')",0.22235993671378002,0.05167973124300118,0.05167973124300118
"(0, 3, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 50, 51, 53)",[0.86713326 0.96590146],0.9165173572228443,"('0', '3', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '50', '51', '53')",0.2124826264155514,0.04938409854423298,0.04938409854423297
"(0, 3, 8, 10, 11, 12, 13, 15, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 50, 51, 53)",[0.87402016 0.96494961],0.919484882418813,"('0', '3', '8', '10', '11', '12', '13', '15', '16', '17', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '50', '51', '53')",0.19561892590638022,0.04546472564389692,0.04546472564389692
"(0, 3, 8, 10, 11, 12, 13, 15, 16, 18, 20, 21, 23, 24, 26, 27, 28, 34, 35, 36, 38, 43, 48, 49, 50, 51, 53)",[0.86668533 0.97099664],0.9188409854423292,"('0', '3', '8', '10', '11', '12', '13', '15', '16', '18', '20', '21', '23', '24', '26', '27', '28', '34', '35', '36', '38', '43', '48', '49', '50', '51', '53')",0.22440767177560786,0.05215565509518483,0.05215565509518482
